Participant,Condition,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,PresentationSequence,Comments,Number correct,Number incorrect,percent correct,1 = Hx
P01F,1,ST elevation myocardial infarction in ant leads,ST elevation myocardial infarction in ant & lat leads,Angina / non-ST elevation MI,Atrial fibrillation,Pulmonary embolism,No answer given,ST elevation MI,Past ST elevation MI?,Posteriolateral ST elevation MI,1,,3,6,33.33,2 = No Hx
P02M,1,Angina,Atrial fibrillation,Ventricular hypertrophy / ventricular fibrillation,Tachycardia,Long QT-syndrome / Romano-ward syndrome,Cardiac arrhythmia,Ventricular fibrillation,Congestion in aorta,"Inadequate ventricular contraction, systolic phase shortened, cardiac arrythmia",2-1,,0,9,0,
P02M,2,Normal,Normal,Ventricular fibrillation / arrythmia,Ventricular tachycardia,Atrial fibrillation,Long QT syndrome,Normal,No answer,Arrythmia,2-1,,0,9,0,
P03M,1,STEMI,Anteroseptal MI,Sinus rhythm,Atrial flutter,Pulmonary embolism,Atrial fibrillation,Anterior MI,Angina,Lateral MI,2-1,,3,6,33.33,
P03M,2,Myocardial Infarction (anterior),Myocardial Infarction (anteroseptal),Ischemia,Atrial flutter,Ischemia,Atrial fibrillation,STEMI,Angina,Myocardial Infarction (lateral),2-1,,3,6,33.33,
P05M,2,MI,AF - L/R BBB,? ectopy,?,"? BBB, ? ischemic",Atrial flutter,?,Posterior MI,?,1-2,,0,9,0,
P05M,1,Anterior MI,AF,L-MI?,Tri?,?PE,Inferior MI with atrial flutter,n?,Ischemic ? posterior MI,?,1-2,,2,7,22.22,
P06M,2,"ST^, Normal SR, Anterior STEMI","Widened QRS,Bundle Branch Block, ?L or R","Normal SR, Lateral STEMI","Atrial fibrillation, otherwise normal","Normal SR, Bundle Branch Block ? L or R","Inferior ST^, Slow AF, Inferior STEMI","Normal SR, Anterior septal STEMI","Inferior ST depression, Normal SR, ? NSTEMI or unstable angina","Inferior ST^, Normal SR, Inferior STEMI",2-1,,6,3,66.67,
P06M,1,"Anterior ST^, Anterior STEMI","BBB throughout, with history likely ACS","Lateral STEMI, previous Hx supports this",Atrial fibrillation,Pulmonary embolus,Inferior STEMI + AF,"Anterior septal STEMI, NSR",?Inferior STEMI,Anterior STEMI,2-1,,5,4,55.56,
P07M,1,"Sinus rhythm, normal axis, ST^ I, aVL, V2-V4, (?aVR) T to in some leads. Anterior ST^ ?more than 12-24 hours old ","Sinus rhythm, normal axis, LBBB","Sinus rhythm, ST^ V4-V6 I ?V3, Anterolateral ST elevation","Fast atrial fibrillation, Nil else","RBBB, S1 QIII TIII pattern, sinus rhythm, normal axis, ?indicative of PE","ST^ II III aVR - reciprocal changes present, suspected inferior STEMI, atrial flutter with variable conduction, normal axis","ST^ V2-V5 ? 2degree ACS, atrial premature beat, sinus rhythm","ST^ I, aVR suspected lateral STEMI, sinus rhythm - reciprocal changes",ST^ II aVF V4-V6 sinus rhythm / bradycardia rate approx 60 bpm,1-2,,6,3,66.67,
P07M,2,ST elevation V2-V4 + minimal ST^ I aVL T depression in some leads - recent (12-24 hours) anterolateral STEMI,LBBB,"Sinus rhythm, ST^ V4-V6 VPB x 1",Atrial fibrillation,RBBB sinus rhythm,"ST^ II, III, aVF - suspected inferior STEMI, atrial flutter",ST^ V2-V4 atrial premature beat,"ST^ I, aVL","ST^ II, III aVF V4-V6 sinus rhythm",1-2,,8,1,88.89,
P08M,2,Anterior STEMI,"Left axis deviation, wide QRS",Sinus rhythm,Sinus tachycardia,Inverted T-waves -> Post MI?,AF,Anteriolateral STEMI,Sinus rhythm,?,2-1,,2,7,22.22,
P08M,1,?,Wide QRS ... LBBB?,NSTEMI?,SVT,PE?,AF,Anterolateral STEMI,No answer,?,2-1,,2,7,22.22,
P09F,1,Pericarditis,Myocardial Infarction,Posterior heart ischaemia,Not sure,Pulmonary embolism,Left bundle branch block,Myocardial infarction,Unsure,Inferior MI,1-2,,1,8,11.11,
P09F,2,Normal ECG,Unsure,AV block,2nd degree AV block,Right bundle branch block,Left bundle branch block,MI,Inferior heart ischemia,Inferior lateral MI,1-2,Mentioned it was harder without the Hx,2,7,22.22,
P10M,2,Anterior STEMI,LBBB,Lateral STEMI with pericarditis,AF,RBBB,Atrial Flutter with Inferior STEMI,Hyperkalaemia,Lateral STEMI,Inferolateral STEMI,2-1,,7,2,77.78,
P10M,1,Acute infarct septal,LBBB,Lateral STEMI,AF,RHF secondary to PE,Atrial flutter + inferior STEMI,Hyperkalaemia,Acute pericarditis,Inferolateral STEMI,2-1,,6,3,66.67,
P11M,1,"T inversion in V2 & V3 also in V4 - can be normal. ST^ in V2 & V5. QRS normal, PR normal. NSR, ?MI","?early LBBB, QRS borderline width. NSR. MI","ST^ V4-V6. 1 x ectopic, NSR, PR ok - Anterolateral MI",?AF fast ~ 150 bpm,?PE T inversion V1-V2 Q wave V1,AF slow,ST^ V2/V1 -> anterior MI,Normal,ST^ V4-V6 - lateral MI,1-2,,5,4,55.56,
P11M,2,ST^ V2-V4 - Anterior MI,?LBBB,ST^ V4-V5 + 1 x ectopic - lateral MI,Fast AF,Normal,Slow AF,ST^ V2-V4 - Anterior MI,Normal,ST^ V4-V6 - MI,1-2,Noticed ECG were the same and there were a lot of MIs,5,4,55.56,
P12M,1,"STEMI ST elevation in precordial leads. V2 - V5 and inverted T. Rate, axis, intervals appear normal","LAD, QRS duration ^, LBBB pattern ? Bifasicular block. If new LBBB then fits criteria of STEMI","ST elevation, more pronounced in lateral precordial leads. Premature ventricular ectopic present - ischemia seen ?STEMI ?stent occlusion ",Tachycardia irregular + regular atrial/junctional ectopics,RV strain pattern - PE,Atrial Flutter with variable AV block. Relativley long periods of asystole,Hyperacute T waves ^STE V2-V4. T depression III. -> STEMI (anterior),STEMI,?U waves visiable in V1. ST elevation present. STEMI,1-2,Answer 8 difficult to read,3,6,33.33,
P12M,2,"ST elevation V2-V5 + T depression - ischemic cause. STEMI - Rate, axis, QRS all normal",LAD + LBBB. Rate normal,ST^ V4 + V5 + PVC -> STEMI,Junctional tachycardia ?Re-entry rhythm with SAN complexes,RBBB,Atrial flutter with variable block,^ST V1-V5 + hyperacute T waves depression T III - STEMI,Inferior myocardial ischemia,Not sure,1-2,,3,6,33.33,
P13F,2,Anterior myocardial infarction - ST elevation in leads V1 - V5,"Anterior myocardial infarction - ST elevation in anterior leads with left bundle branch block - deep S waves in V1 notched R wave in V6, broad QRS",Global saddle ST segments - suggestive of pericarditits ?ventricular ectopic,?Atrioventricular block - Mobitz type II Tachycardia,Right bundle branch block ?1st degree AV block - prolonged PR interval,Slow Atrial fibrillation,Anterior infarction - grossly elevated ST segment,"?Lateral infarction - ST elevation in leads I, aVL reciprocal depression in anterior leads","?Inferio-lateral infarction - ST elevation in II, III, aVF and lateral precordial leads",2-1,,6,3,66.67,
P13F,1,ST elevation in leads V2-V3 Deep S waves in V1-V4 - progressive,Anterior infarction - ST elevation in V1 - V3 ?Left bundle branch block,Anterior ischemia/infarction - saddle shaped ST elevation in V2-V5 ?ventricular ectopic or pause,Atrial fibrillation,Pulmonary embolism - S1Q3T3 ?RBBB,No answer given,Anterior infarction - ST elevation V2-V5,Lateral infarction - ST elevation in leads I and aVL,"Infero-lateral infarction - elevation in leads II, III, aVF, V3-V6",2-1,Read Hx fairly quickly,6,3,66.67,
P14M,2,Anterior septal infarction,Left bundle branch block,Inferior lateral infarction alongside PVC's,Atrial Fibrillation (SVT),Right bundle branch block,Inferior infarction,Anterior lateral infarction,Lateral infarction,Inferior lateral infarction + RBBB,2-1,"Very fast, seems confident",9,0,100,
P14M,1,Anterior infarction,LBBB,Lateral infarction,SVT - Atrial Fib,RBBB + Non specific ST depression,Inferior infarction - preceeded by Atrial Flutter?,Anterior lateral infarction,Lateral infarction,Inferior lateral infarction,2-1,Immediatly realised they were the same ECGs,9,0,100,
P15F,1,Anterolateral MI loss of R wave in V1-V4 ST elevation V1-V5 lead I & aVL ST elevation,LBBB Left Bundle Branch Block,Loss of R wave in V1 lateral ST elevation V4-V5 isolated VE. Sinus Rhythm,Atrial Fibrillation,Right Bundle Branch Block ?long PR therfore Bifasicular Block,Atrial flutter with variable block,Anterolateral ST elevation,"III, aVF slow ST changes ?posterior MI","II, III V4-V6 ST elevation ?Inferior lateral MI",1-2,,7,2,77.78,
P15F,2,Anterolateral MI ,Left Bundle Branch Block,Isolated VE V4-V5 ST elevation,Atrial Fibrillation,Right Bundle Branch Block ?long PR therfore Bifasicular Block,Atrial flutter with variable block,High take off V3-V5 ST depression in lead III,"ST depression in lead III, aVF & aVR","High ST elevation II,III & V4-V6 ?inferior or lateral MI",1-2,,5,4,55.56,
P16F,2,"Sinus rhythm, Q waves anterioly and laterally with ST elevation - anterolateral MI",Sinus rhythm with LBBB,"Sinus rhythm poor R wave progression V1-V3, ST elevation V4-V5, one premature VE",AF with fast ventricular response rate,Sinus rhythm with RBBB,AF with inferior MI,Sinus rhythm witrh peaked T waves. V3-V4 (hyperkalaemia),Sinus rhythm with ST elevation in aVL. T wave inversion (ischaemia) III and aVF,"Sinus rhythm with ST elevation V4-V6 & II, III and aVF (inferiorly)",2-1,,8,1,88.89,
P16F,1,Sinus rhythm with anterior Q waves & ST elevation (anterior MI),Sinus rhythm with LBBB,Sinus rhythm with ST elevation V4-V5 one premature VE,AF with fast ventricular response rate,Sinus rhythm with RBBB,AF with inferior MI,Sinus rhythm ST elevaton & peaked T waves V3-V5,Sinus rhythm with ST elevation laterally & T inversion & ST depression in III and aVF,"Sinus rhythm with ST elevation V4-V6 II, III and aVF",2-1,,8,1,88.89,
P17F,2,ST elevation anterior leads ? anterior myocardial infarction,"Left Bundle Branch Block, sinus rhythm","Anterolateral myocardial infarction, sinus rhythm. Isolated ventricular ectopic",Atrial fibrillation,T wave inversion ?pulmonary embolism,Atrial flutter with inferior ST elevation,High take off + peaked T waves - anterior leads ?Brugada,"Inferior T wave inversion, aVL ST elevation",Inferolateral myocardial infarction,2-1,,6,3,66.67,
P17F,1,"Anterior myocardial infarction, sinus rhythm",LBBB sinus rhythm,"Sinus rhythm, minor anterolateral ST elevation",Atrial fibrillation,Sinus rhythm ?RBBB,Atrial flutter with inferior ST elevation,Sinus rhythm with anterior high ST take off ?Brugada,Sinus rhythm with inferior T wave inversion,Sinus rhythm with inferolateral ST elevation,2-1,,7,2,77.78,
P18F,2,MI,SR with LBBB,SR with ventricular ectopic. High take off,AF (fast vent response),SR with incomplete BBB,Atrial Flutter with variable AV block.,SR with high take off,SR with inferior MI (old),SR with infero-lateral MI,2-1,,3,6,33.33,
P18F,1,SR with ant-lateral MI/pericarditis,"SR with LBBB, possible old MI/angina",SR with lateral changes ST elevation,Fast AF,SR with incomplete BBB,Atrial flutter with variable AVB. Possible inf MI,SR with MI (ant-lateral),SR with inferior changes T wave (down arrow). MI,MI,2-1,,6,3,66.67,
P19F,1,SR with ant-lat ST elevation,SR with LBBB,SR with inf-lat ST elevation & VE,AF,SR with RBBB,AF with inferior ST elevation,SR with ant-septal ST elevation,SR with ST depression & T wave inversion in inferior leads (III & aVF),"SR with ST elevation (widespread-all leads except I, V1 & V2)",1-2,,7,2,77.78,
P19F,2,SR with ant-septal ST elevation,SR with LBBB,SR with inf-lat ST elevation & VE,AF,SR with RBBB,AF with inferior ST elevation,SR with ant-septal ST elevation,SR with ST depression & T wave inversion in inferior leads (II & aVF),SR with infero-lateral ST elevation,1-2,,8,1,88.89,
P20F,1,"anterolateral ST elevation, sinus rhythm",LBBB. SR,"SR, inferior ST elevation, 1 ectopic (VE) anterolat ST elevation",AF,SR with BBB (?right bundle),Atrial flutter with variable block,SR anteroseptal ST elevation,SR inferior ST depression,"SR, inferior & anterolateral ST elev",1-2,,7,2,77.78,
P20F,2,"SR, anteroseptal ST elev","SR, LBBB","SR, 1 ectopic anterolateral ST elev",AF,"SR, RBBB",Atrial flutter with variable block -> inferior ST elev,"SR, anteroseptal ST elevation","SR, inferior ST depression","SR, inferior & anterolateral ST elev",1-2,,8,1,88.89,
P21F,2,Sinus rhythm anterior ST elevation normal PR + QRS duration,Sinus rhythm left bundle branch block normal PR interval,Sinus rhythm ST elevation in V4-V5 probable high take off one isolated VE,Atrial fibrillation irregular rhythm no visible P wave narrow QRS,Sinus rhythm right bundle branch block normal PR interval,Atrial fibrillation Inferior ST elevation,Sinus rhythm anterior ST elevation peaked T waves in chest leads,Sinus rhythm slight ST elevation I + aVL ST depression T wave inversion in III T wave inversion in V1,Sinus rhythm inferolateral ST elevation,2-1,,8,1,88.89,
P21F,1,Sinus rhyrhm anterior ST elevation,Sinus rhyhtm with left bundle branch block normal PR,Sinus rhythm slight ST elevation in inferior leads V4-V5 ST elevation one isolated VE,Atrial fibrillation irregularly irregular no visible P wave appears fast conducted at times,Sinus rhythm right bundle branch block,Atrial fibrillation Inferior ST elevation,Sinus rhythm anterior ST elevation,Sinus rhythm slight ST elevation I + aVL. ST depression T wave inversion in III + aVF ,Sinus rhythm inferior ST elevation,2-1,,8,1,88.89,
P22M,2,Normal sinus rhythm antero septal infarct,Sinus arrhythmia LBBB,Lateral infarct isolated ventricular ectopic,A fib incomplete RBBB,RBBB,A fib inferior MI,Sinus rhythm high take off probable hyperkalaemia,Sinus rhythm probable infero/anterior ischaemia I + aVL ^ III aVF (down arrow),Infero lateral infarct. Sinus brady,2-1,,6,3,66.67,
P22M,1,Anteroseptal infarct,LBBB sinus arryhthmia,Lateral infarct isolated vent ectopic,A fib. incom RBBB,RBBB,Inferior infarct. A fib,Hyperkalaemia. High take off. Syptoms CP -> Anterior MI,"Inferior ischaemia, anterior elevation. Given symptoms possible infarct early changes",Infero lateral infarct,2-1,,7,2,77.78,
P23F,1,ST elevation septal and anterior leads,LBBB prolonged PR,ST elevation anterior leads. One ventricular ectopic,Atrial fibrillaion with fast V response,"Prolonged PR/1st degree HB, RSR complex/RBBB pattern seen",Atrial fibrillation inferior/lateral ST elevation,Anterior ST elevation - likely acute MI T wave inversion noted III,"SR with lateral ST changes, depression and elevation",SR with lateral + inferior ST elevation ,1-2,,8,1,88.89,
P23F,2,Anterior/lateral ST elevated SR,LBBB,Anterior lateral ST elevation with one VE,AF with fast ventricular response,SR with RBBB and prolonged PR/1st degree AV block,AF with inferior/lateral ST changes/elevation,Anterior ST elevation with T wave inversion in lead III (SR),T wave inversion V1 with ST depression and elevation seen lead III and aVL / inferior lateral,SR with inferior / lateral ST elevation,1-2,,9,0,100,
P24M,2,Sinus rhythm anterolateral acute MI,SR with LBBB,SW with ?lateral acute MI + 1 VE,AF,SR with RBBB,Atrial fibrillation with inferior MI,SR with ? pericarditis,SR with ? high take off,SR with high take off,2-1,,6,3,66.67,
P24M,1,SR with anterolateral ST elevation,SR with LBBB,SR with anterolateral acute MI,Fast AF,SR with RBBB,AF with inferior acute MI,SR with pericarditits,SR with inferolateral MI,SR with high take off,2-1,,7,2,77.78,
P25F,2,SR with anterior lateral ST elevation,SR with left bundle branch block,"SR with ST elevation V4-V5, isolated VE",Atrial fibrillation with rapid V response,SR with RBBB,AF with inferior ST elevation,SR with ST elevation V2-V4,SR with ST elevatation in I and aVL,SR with inferior lateral ST elevation,2-1,,8,1,88.89,
P25F,1,SR with ST elevation V2-V5,SR with LBBB,"SR with ST elevation V4-V5, isolated VE",Atrial fibrillation with rapid ventricular response,SR with RBBB,"Atgrial fibrillation with ST elevation in II, III, aVF",SR with ST elevation in V2-V4,SR with ST elevation in leads I + aVL T wave inversion,SR with inferior lateral ST elevation,2-1,,7,2,77.78,
P26F,1,"Progressing anterior MI, q waves, ST elevation biphasic T waves","LBBB, small ST depression in V5","SR, ST elevation V4-V6",Rapidly conducted AF,RBBB,"Coarse AF/flutter, inferior ST elevation",ST elevation anterior with peaked T waves,"ST depression + T wave inversion III + aVF, ST elevation I and aVF",ST elevation inferior and anterolateral,1-2,,8,1,88.89,
P26F,2,Resolving anterior MI,LBBB,Scooped ST elevation V4-V5 1x VE,Rapidly conducted AF,RBBB,"Coarse AF, inferior ST elevation, ST depression I + aVL","Anterior ST elevation ?high ake off, peaked T waves anterioraly","ST depression + T wave inversion III + aVF, ST elevation I and aVL",Inferior + anterolateral ST elevation,1-2,,7,2,77.78,
P27F,2,NSR anterolateral MI,NSR LBBB,NSR VE lateral MI,AF,NSR RBBB,AF inferior MI,NSR hypokalaemia,NSR anterior MI,NSR infero-lateral MI,2-1,,7,2,77.78,
P27F,1,NSR anterolateral MI,NSR LBBB,NSR VE lateral MI,AF,NSR RBBB,AF inferior MI,NSR pericarditis,NSR anterior MI,NSR infero-lateral MI,2-1,,7,2,77.78,
P28F,2,Septal infarct elevation V1-V4,SR left bundle branch block,Lateral infarct - elevation V4-V6 with isolated VE,Atrial fibrillation,Right bundle branch block,Atrial fibrillation,ST elevation V1-V4,Anterior infarct,Infra-lateral infarct,2-1,,6,3,66.67,
P28F,1,Elevation V1 -> V6 ?MI,Left bundle branch block unable to analyse ST segment,Lateral infarct isolated VE,Fast AF,Right bundle branch block,AF with inferior ST changes,Septal lateral ST elevation,ST changes in all leads,Infra-lateral ST elevation,2-1,,5,4,55.56,
P29M,1,Sinus rhythm ST elevation anteriorly young man MI unlikely ? coronary artery spasm,Sinus rhythm + LBBB - unable to assess ST segments,Sinus rhythm. Antero-lateral MI 1 x VE,Fast AF,Sinus rhythm + RBBB. Unable to asses ST segments,Coarse AF + inferior MI,Sinus rhythm anterior MI incomplete BBB,Sinus rhythm inferior ST depression and T wave inversion. ? unstable angina,Sinus rhythm + infero-lateral MI,1-2,,8,1,88.89,
P29M,2,Sinus rhythm + septal / lateral MI,Sinus rhythm + LBBB,Sinus rhythm + lateral MI,AF + fast ventricular conduction,Sinus rhythm borderline 1st degree heart block. RBBB,Coarse AF + inferior MI,Sinus rhythm + antero-lateral MI,Sinus rhythm + inferior T wave inversion + ST elevation,Sinus rhythm + infero-lateral ST elevation MI,1-2,,8,1,88.89,
P30F,2,Anterior MI,"SR, LBBB","SR, + VE, lateral high take off","AF, rapid ventricular response","SR, RBBB",Atrial flutter / AF with inferior ST elevation,"SR, inferior TWI, anterior high take off","SR, inferior ST (down arrow), high lateral ST^","SR, mild inferolateral ST^",2-1,,7,2,77.78,
P30F,1,Anterior ST elevation - ?anterior MI,"SR, LBBB","SR, one VE, lateral ST^ -> ?acute MI",AF with rapid ventricular response,"SR, RBBB",AF / flutter with anterior MI,"SR, ? S1, q3, T3 ?pericarditic changes","SR, TWI inferor -> ? posterior MI","SR, inferolateral elevation - ? ischaemia",2-1,,7,2,77.78,
P31F,1,Anterolateral ST elevation,Anterolateral ST elevation / bb morphology,"Anterolateral & inferior ST elevation, 1 VE",AF / rapid ventricular response,RBBB morphology,AF,BB morphology with high take off,Inferior T wave inversion ,Inferolateral ST elevations,1-2,,4,5,44.44,
P31F,2,Anterolateral ST elevation,LBBB morphology ,Inferolateral ST elevations,AF with rapid ventricular response,RBBB morphology,AF,LVH with hight T take off,Inferior T wave inversion,Inferolateral ST elevations,1-2,,5,4,55.56,
